Timestamp,Lebron_Goat,Age,Screen_Time,Played_Before
4/9/2025 10:45:02,No,18,7,Yes
4/9/2025 10:49:43,Yes,18,4,No
4/9/2025 12:41:12,No,18,4,Yes
4/9/2025 12:58:27,No,19,11,Yes
4/9/2025 13:59:42,Yes,18,9,No
4/9/2025 14:52:41,No,16,10,Yes
4/9/2025 14:55:44,No,18,6,Yes
4/9/2025 15:07:06,Yes,18,10,Yes
4/9/2025 15:29:16,Yes,18,8,Yes
4/9/2025 15:29:43,Yes,18,3,Yes
4/9/2025 15:34:51,Yes,18,8,Yes
4/9/2025 23:49:40,Yes,19,10,Yes
4/9/2025 23:50:30,No,18,5,Yes
4/10/2025 0:46:40,No,17,4,Yes
4/10/2025 8:13:07,No,18,7,No
4/10/2025 8:22:21,No,18,7,No
4/10/2025 9:47:45,No,30,11,Yes
4/10/2025 14:18:05,No,21,8,Yes
4/10/2025 14:24:02,No,19,2,Yes
4/10/2025 14:25:39,No,00000,23,Yes
4/10/2025 14:26:06,No,18,9,Yes
4/10/2025 14:54:33,No,25,3,Yes
4/10/2025 15:05:34,Yes,18,8,No
4/10/2025 15:28:09,No,45,4,Yes
4/10/2025 15:41:34,Yes,18,5,Yes
4/10/2025 15:56:45,Yes,18,6,No
4/10/2025 17:17:08,No,18,12,Yes
4/10/2025 17:33:25,No,41,6,Yes
4/10/2025 17:40:09,No,44,5,Yes
4/10/2025 17:40:13,No,42,2,No
4/10/2025 17:40:59,No,64,3,Yes
4/10/2025 17:43:56,Yes,41,6,No
4/10/2025 17:46:27,Yes,28,6,No
4/10/2025 17:49:05,No,34,2,Yes
4/10/2025 17:51:20,No,59,7,Yes
4/10/2025 17:53:04,No,40,10,Yes
4/10/2025 17:53:12,No,66,4,Yes
4/10/2025 17:53:27,Yes,28,4,Yes
4/10/2025 17:54:36,Yes,37,7,No
4/10/2025 17:55:35,Yes,29,5,Yes
4/10/2025 17:57:07,No,39,5,No
4/10/2025 17:59:00,No,29,10,Yes
4/10/2025 18:01:29,No,27,4,No
4/10/2025 18:03:29,No,47,3,Yes
4/10/2025 18:09:50,Yes,47,4,No
4/10/2025 18:11:45,No,28,5,Yes
4/10/2025 18:12:54,No,42,4,Yes
4/10/2025 18:14:34,No,24,5,Yes
4/10/2025 18:15:01,No,38,3,Yes
4/10/2025 18:17:39,No,37,4,Yes
4/10/2025 18:18:34,No,40,5,Yes
4/10/2025 18:20:39,No,36,5,No
4/10/2025 18:23:47,No,29,5,No
4/10/2025 18:25:41,No,27,5,Yes
4/10/2025 18:51:29,No,50,8,Yes
4/10/2025 19:06:21,No,40,4,No
4/10/2025 19:11:31,Yes,29,3,Yes
4/10/2025 19:18:44,No,37,4,Yes
4/10/2025 19:24:00,No,34,7,No
4/10/2025 19:25:25,Yes,28,7,Yes
4/10/2025 19:41:47,No,66,3,Yes
4/10/2025 20:16:32,Yes,66,5,No
4/10/2025 20:18:54,No,46,3,No
4/10/2025 20:21:37,No,21,13,Yes
4/10/2025 20:26:09,No,31,5,Yes
4/10/2025 21:11:46,No,41,3,Yes
4/10/2025 21:47:12,No,18,7,Yes
4/10/2025 21:55:38,Yes,18,7,No
4/10/2025 22:46:01,Yes,18,5,Yes
4/10/2025 22:48:36,No,19,8,Yes
4/11/2025 6:11:23,Yes,28,4,Yes
4/11/2025 6:51:33,No,41,6,Yes
4/11/2025 6:56:09,No,44,4,No
4/11/2025 8:41:00,No,36,8,Yes
4/11/2025 9:20:55,No,63,3,Yes
4/11/2025 9:26:46,No,18,2,No
4/11/2025 9:37:31,No,32,2,Yes
4/11/2025 9:39:23,No,18,8,Yes
4/11/2025 9:45:16,Yes,33,4,Yes
4/11/2025 9:46:17,No,19,9,No
4/11/2025 9:46:53,Yes,18,3,Yes
4/11/2025 9:47:03,Yes,21,4,Yes
4/11/2025 9:48:08,Yes,21,18,Yes
4/11/2025 9:48:41,Yes,19,4,Yes
4/11/2025 9:48:53,Yes,19,5,Yes
4/11/2025 9:51:23,Yes,19,0,Yes